time,customer_no,location
07:00:00,1,fruit
07:01:00,1,dairy
07:01:00,2,drinks
07:02:00,1,dairy
07:02:00,2,spices
07:02:00,3,drinks
07:03:00,1,dairy
07:03:00,2,dairy
07:03:00,3,drinks
07:03:00,4,drinks
07:04:00,1,dairy
07:04:00,2,fruit
07:04:00,3,drinks
07:04:00,4,drinks
07:04:00,5,drinks
07:05:00,1,dairy
07:05:00,2,fruit
07:05:00,3,drinks
07:05:00,4,drinks
07:05:00,5,drinks
07:05:00,6,drinks
07:06:00,1,dairy
07:06:00,2,spices
07:06:00,3,checkout
07:06:00,4,checkout
07:06:00,5,checkout
07:06:00,6,drinks
07:06:00,7,drinks
07:07:00,1,dairy
07:07:00,2,spices
07:07:00,4,checkout
07:07:00,6,spices
07:07:00,7,spices
07:07:00,8,dairy
07:08:00,1,dairy
07:08:00,2,fruit
07:08:00,6,checkout
07:08:00,7,spices
07:08:00,8,dairy
07:08:00,9,dairy
07:09:00,1,drinks
07:09:00,2,checkout
07:09:00,7,fruit
07:09:00,8,dairy
07:09:00,9,spices
07:09:00,10,spices
07:10:00,1,drinks
07:10:00,7,fruit
07:10:00,8,drinks
07:10:00,9,spices
07:10:00,10,drinks
07:10:00,11,drinks
07:11:00,1,drinks
07:11:00,7,checkout
07:11:00,8,drinks
07:11:00,9,spices
07:11:00,10,fruit
07:11:00,11,checkout
07:11:00,12,fruit
07:12:00,1,drinks
07:12:00,8,drinks
07:12:00,9,drinks
07:12:00,10,checkout
07:12:00,12,spices
07:12:00,13,fruit
07:13:00,1,drinks
07:13:00,8,drinks
07:13:00,9,drinks
07:13:00,12,checkout
07:13:00,13,fruit
07:13:00,14,spices
07:14:00,1,spices
07:14:00,8,checkout
07:14:00,9,drinks
07:14:00,13,fruit
07:14:00,14,checkout
07:14:00,15,fruit
07:15:00,1,fruit
07:15:00,9,checkout
07:15:00,13,fruit
07:15:00,15,fruit
07:15:00,16,drinks
07:16:00,1,checkout
07:16:00,13,fruit
07:16:00,15,dairy
07:16:00,16,drinks
07:16:00,17,spices
07:17:00,13,fruit
07:17:00,15,dairy
07:17:00,16,checkout
07:17:00,17,spices
07:17:00,18,fruit
07:18:00,13,fruit
07:18:00,15,dairy
07:18:00,17,drinks
07:18:00,18,fruit
07:18:00,19,spices
07:19:00,13,fruit
07:19:00,15,dairy
07:19:00,17,checkout
07:19:00,18,dairy
07:19:00,19,dairy
07:19:00,20,fruit
07:20:00,13,checkout
07:20:00,15,drinks
07:20:00,18,dairy
07:20:00,19,dairy
07:20:00,20,checkout
07:20:00,21,spices
07:21:00,15,drinks
07:21:00,18,dairy
07:21:00,19,dairy
07:21:00,21,dairy
07:21:00,22,drinks
07:22:00,15,drinks
07:22:00,18,dairy
07:22:00,19,dairy
07:22:00,21,dairy
07:22:00,22,spices
07:22:00,23,spices
07:23:00,15,drinks
07:23:00,18,dairy
07:23:00,19,dairy
07:23:00,21,dairy
07:23:00,22,dairy
07:23:00,23,dairy
07:23:00,24,dairy
07:24:00,15,spices
07:24:00,18,fruit
07:24:00,19,dairy
07:24:00,21,dairy
07:24:00,22,dairy
07:24:00,23,checkout
07:24:00,24,dairy
07:24:00,25,drinks
07:25:00,15,spices
07:25:00,18,checkout
07:25:00,19,dairy
07:25:00,21,dairy
07:25:00,22,fruit
07:25:00,24,dairy
07:25:00,25,drinks
07:25:00,26,spices
07:26:00,15,spices
07:26:00,19,dairy
07:26:00,21,dairy
07:26:00,22,fruit
07:26:00,24,spices
07:26:00,25,checkout
07:26:00,26,dairy
07:26:00,27,dairy
07:27:00,15,checkout
07:27:00,19,dairy
07:27:00,21,dairy
07:27:00,22,fruit
07:27:00,24,fruit
07:27:00,26,dairy
07:27:00,27,fruit
07:27:00,28,drinks
07:28:00,19,dairy
07:28:00,21,dairy
07:28:00,22,spices
07:28:00,24,fruit
07:28:00,26,dairy
07:28:00,27,dairy
07:28:00,28,drinks
07:28:00,29,fruit
07:29:00,19,spices
07:29:00,21,dairy
07:29:00,22,fruit
07:29:00,24,fruit
07:29:00,26,checkout
07:29:00,27,fruit
07:29:00,28,fruit
07:29:00,29,drinks
07:29:00,30,spices
07:30:00,19,spices
07:30:00,21,dairy
07:30:00,22,checkout
07:30:00,24,spices
07:30:00,27,fruit
07:30:00,28,fruit
07:30:00,29,checkout
07:30:00,30,drinks
07:30:00,31,dairy
07:31:00,19,spices
07:31:00,21,dairy
07:31:00,24,spices
07:31:00,27,fruit
07:31:00,28,fruit
07:31:00,30,drinks
07:31:00,31,dairy
07:31:00,32,spices
07:32:00,19,drinks
07:32:00,21,dairy
07:32:00,24,checkout
07:32:00,27,fruit
07:32:00,28,fruit
07:32:00,30,drinks
07:32:00,31,dairy
07:32:00,32,dairy
07:32:00,33,dairy
07:33:00,19,drinks
07:33:00,21,dairy
07:33:00,27,dairy
07:33:00,28,checkout
07:33:00,30,spices
07:33:00,31,drinks
07:33:00,32,spices
07:33:00,33,drinks
07:33:00,34,fruit
07:34:00,19,spices
07:34:00,21,dairy
07:34:00,27,dairy
07:34:00,30,spices
07:34:00,31,drinks
07:34:00,32,checkout
07:34:00,33,fruit
07:34:00,34,fruit
07:34:00,35,fruit
07:35:00,19,drinks
07:35:00,21,dairy
07:35:00,27,dairy
07:35:00,30,fruit
07:35:00,31,drinks
07:35:00,33,fruit
07:35:00,34,fruit
07:35:00,35,fruit
07:35:00,36,dairy
07:36:00,19,drinks
07:36:00,21,dairy
07:36:00,27,dairy
07:36:00,30,checkout
07:36:00,31,drinks
07:36:00,33,fruit
07:36:00,34,fruit
07:36:00,35,checkout
07:36:00,36,dairy
07:36:00,37,dairy
07:37:00,19,checkout
07:37:00,21,dairy
07:37:00,27,dairy
07:37:00,31,drinks
07:37:00,33,fruit
07:37:00,34,checkout
07:37:00,36,dairy
07:37:00,37,dairy
07:37:00,38,drinks
07:38:00,21,dairy
07:38:00,27,dairy
07:38:00,31,drinks
07:38:00,33,fruit
07:38:00,36,drinks
07:38:00,37,dairy
07:38:00,38,spices
07:38:00,39,fruit
07:39:00,21,drinks
07:39:00,27,dairy
07:39:00,31,checkout
07:39:00,33,fruit
07:39:00,36,drinks
07:39:00,37,dairy
07:39:00,38,checkout
07:39:00,39,dairy
07:39:00,40,spices
07:40:00,21,drinks
07:40:00,27,dairy
07:40:00,33,checkout
07:40:00,36,fruit
07:40:00,37,dairy
07:40:00,39,fruit
07:40:00,40,checkout
07:40:00,41,drinks
07:41:00,21,drinks
07:41:00,27,dairy
07:41:00,36,drinks
07:41:00,37,dairy
07:41:00,39,fruit
07:41:00,41,spices
07:41:00,42,dairy
07:42:00,21,drinks
07:42:00,27,dairy
07:42:00,36,drinks
07:42:00,37,dairy
07:42:00,39,dairy
07:42:00,41,spices
07:42:00,42,dairy
07:42:00,43,spices
07:43:00,21,drinks
07:43:00,27,dairy
07:43:00,36,checkout
07:43:00,37,dairy
07:43:00,39,dairy
07:43:00,41,fruit
07:43:00,42,dairy
07:43:00,43,spices
07:43:00,44,dairy
07:44:00,21,checkout
07:44:00,27,fruit
07:44:00,37,checkout
07:44:00,39,dairy
07:44:00,41,fruit
07:44:00,42,dairy
07:44:00,43,fruit
07:44:00,44,dairy
07:44:00,45,dairy
07:45:00,27,fruit
07:45:00,39,checkout
07:45:00,41,fruit
07:45:00,42,drinks
07:45:00,43,checkout
07:45:00,44,dairy
07:45:00,45,dairy
